CLASS,geometry
ASS,POINT (23.367136855257424 63.833986965919365)
ASS,POINT (23.38082874803755 63.84123911832789)
ASS,POINT (23.392700549632508 63.820803380508565)
ASS,POINT (23.38900388257787 63.85407191815932)
ASS,POINT (23.231921224205877 63.78242201762133)
ASS,POINT (23.41465103448098 63.86086717845902)
ASS,POINT (23.43792094933115 63.85690510242507)
ASS,POINT (23.458315400615597 63.84999099585117)
ASS,POINT (23.46157776763997 63.83271642969767)
ASS,POINT (23.623779032968923 63.649859198974816)
ASS,POINT (23.627360717667468 63.620562582001504)
ASS,POINT (23.725949484158306 63.59432402313689)
ASS,POINT (23.783777280327307 63.415558639248076)
ASS,POINT (23.442913318054728 63.823614446283415)
ASS,POINT (23.492225166683706 63.842978352693265)
ASS,POINT (23.483292817428325 63.83115271423377)
ASS,POINT (23.592091667231568 63.80514833426443)
ASS,POINT (23.599846667471667 63.795793332191046)
ASS,POINT (23.62640833390052 63.7776316692944)
ASS,POINT (23.5442966656885 63.82315000053026)
ASS,POINT (23.527003333623274 63.82610333695903)
ASS,POINT (23.475520000183387 64.00922166598733)
ASS,POINT (23.45784999962343 64.05292500453395)
ASS,POINT (23.59854999983684 64.04408000381055)
ASS,POINT (23.589266667253547 64.04143166846363)
ASS,POINT (23.643706667271093 64.02995500150831)
ASS,POINT (23.65797499971143 63.95619500326958)
ASS,POINT (23.366408334556525 63.898903330730406)
ASS,POINT (23.427451667637197 63.87082166593286)
